"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade","xTFR","zTFR"
"25","AUT",1987,1.432,447961,293316,326873,304093,262403,257311,233529,258920,1936445,1.61932148860412,0.29254432736277,0.00973,1.4872,0.23133164122916,6.42886546819924,0.151471381836303,0.168800559788685,0.157036734841423,0.135507592521347,0.132878031650783,0.120596763657114,0.133708935704345,"1980",1.6203341922339,1.60387926776519
"26","AUT",1988,1.447,441200,280825,322831,310700,270331,252310,238499,270288,1945784,1.58722653696402,0.298610226006587,0.00815,1.4648,0.226746648137717,6.46007344333636,0.144324858257648,0.165913071543398,0.15967856658293,0.138931659423656,0.129670096989183,0.122572186840883,0.138909560362301,"1980",1.57205675324515,1.55409355960364
"27","AUT",1989,1.446,440612,266850,319930,319061,278828,249140,242130,277681,1953620,1.5787532887665,0.306041604815675,0.00828,1.4496,0.225536184109499,6.42735003132007,0.136592581976024,0.163762655992465,0.163317840726446,0.142723764089229,0.127527359466017,0.123939148862112,0.142136648887706,"1980",1.54396949254331,1.52253289716008
"28","AUT",1990,1.457,443189,256295,318158,328269,289422,251144,243214,268311,1954813,1.58701778635604,0.315984700326834,0.00784,1.4462,0.226716826622291,6.37888250971933,0.131109727631236,0.162756232949136,0.167928594704455,0.148056105622379,0.128474692975748,0.124418038963318,0.137256607153728,"1990",1.52556229030872,1.50114765274804
"29","AUT",1991,1.507,449804,248383,314416,335644,300651,256551,255656,244919,1956220,1.60954698346812,0.325267607937757,0.0076,1.4578,0.229935283352588,6.34004481062863,0.126970892844363,0.160726298678063,0.171577838893376,0.153689769044382,0.131146292339307,0.130688777335882,0.125200130864627,"1990",1.52213720063684,1.49761131464751
"30","AUT",1992,1.505,460519,239952,310909,341341,311757,268506,259879,233643,1965987,1.63970209365576,0.332198534374846,0.00754,1.4724,0.234243156236537,6.2857759588638,0.122051671755714,0.158143975519675,0.173623223347865,0.15857531102698,0.136575674203339,0.132187547527018,0.118842596619408,"1990",1.53157686839241,1.50264476720519
"31","AUT",1993,1.501,470159,233656,304522,344837,323806,279168,257161,239522,1982672,1.6599382046047,0.337243376614992,0.00649,1.4832,0.237134029229242,6.25469066932676,0.11784904411824,0.153591718650387,0.17392538957528,0.163317987039712,0.140803925208002,0.129704257688614,0.120807677719764,"1990",1.53642095259952,1.5049141741173
"32","AUT",1994,1.465,473963,228436,291958,344147,334519,289212,255233,243532,1987037,1.66969261266901,0.341546735163965,0.00617,1.487,0.238527516095573,6.2340816034163,0.114963133550105,0.146931335450724,0.173196070329843,0.168350664834122,0.145549378295422,0.128449042468761,0.122560375071023,"1990",1.533387612865,1.50297271001976
"33","AUT",1995,1.423,473169,223293,277895,339279,341471,298360,256129,244577,1981004,1.67197188900174,0.343638882102207,0.00531,1.4802,0.238853127000248,6.19711376019984,0.112717086891294,0.140279878283941,0.171266186236878,0.172372695865329,0.150610498514894,0.129292520358364,0.123461133849301,"1990",1.52960872210435,1.5009405510196
"34","AUT",1996,1.446,469332,222796,266751,330692,345083,307120,260495,256292,1989229,1.65155645730079,0.339717046152052,0.00506,1.468,0.235936636757256,6.22200951991341,0.112001182367641,0.134097683072185,0.166241292480655,0.173475753671397,0.154391475290175,0.130952746013657,0.12883986710429,"1990",1.52180474222549,1.4957776940279
