"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","lagTFR","CWR","mult","p15","p20","p25","p30","p35","p40","p45","decade"
"16","AUT",1966,2.663,642955,249850,252363,244887,204054,232971,281977,191951,1658053,2.71443976760695,0.270763962310011,0.02783,2.7564,0.387777109658135,7.10820708945416,0.150688789803462,0.152204422898424,0.147695519986394,0.123068442323617,0.140508777463688,0.170065130608008,0.115768916916407,"1960"
"17","AUT",1967,2.621,641479,252340,238679,266200,199570,226909,273893,217522,1675113,2.6806269189004,0.27805288359651,0.0262,2.7206,0.382946702700057,7.10438288361739,0.150640583650178,0.142485312931128,0.158914652324948,0.119138231271562,0.135458921278744,0.163507178321701,0.12985512022174,"1960"
"18","AUT",1968,2.586,637779,245026,242440,278629,195756,223386,262620,245479,1693336,2.63648384018293,0.280148180869007,0.02531,2.6736,0.376640548597561,7.09854531052292,0.144700165826511,0.143173002877161,0.16454442591429,0.115603754954717,0.131920658392664,0.155090306944399,0.14496768509026,"1960"
"19","AUT",1969,2.488,629166,244492,243152,285084,197280,217406,251396,270936,1709746,2.57591595476755,0.282126116978779,0.02492,2.6122,0.367987993538221,7.09860116598799,0.14299901856767,0.142215276421176,0.166740556784458,0.115385560194321,0.127156899328906,0.147037045268712,0.158465643434756,"1960"
"20","AUT",1970,2.292,616606,245387,242681,273634,218728,211850,240852,281392,1714524,2.5174579066843,0.287171249862936,0.02487,2.53,0.359636843812043,7.03487432817715,0.14312252263602,0.141544242017026,0.159597649260086,0.12757360060285,0.123561991549841,0.140477473631165,0.164122520303011,"1970"
"21","AUT",1971,2.2,599984,249052,255247,248118,242975,204883,232796,279103,1712174,2.45295630000222,0.286824236321776,0.02556,2.4374,0.350422328571746,6.95560699551988,0.145459515212823,0.149077722240847,0.144914009907872,0.141910226413904,0.119662487574277,0.135965153074395,0.163010885575882,"1970"
"22","AUT",1972,2.085,582466,257040,260937,236556,263681,200186,226905,271205,1716510,2.37532085452459,0.291426790406115,0.02456,2.3302,0.33933155064637,6.86703018201921,0.14974570494783,0.152016009228027,0.137812188685181,0.153614601720934,0.116623847224892,0.132189733820368,0.157997914372768,"1970"
"23","AUT",1973,1.938,561071,265165,258783,243384,276318,196423,223276,260277,1723626,2.27862482928431,0.301516686334506,0.02298,2.2006,0.325517832754902,6.7603055149883,0.153841378582129,0.150138719188501,0.141204646483634,0.160312039850873,0.113959176758763,0.129538542584064,0.151005496552036,"1970"
"24","AUT",1974,1.908,534315,274437,257569,248959,285160,198741,217795,249703,1732364,2.1590179662011,0.308317997834173,0.02334,2.0846,0.308431138028728,6.75872096871696,0.158417630474889,0.148680646792475,0.143710559674526,0.164607438159648,0.114722425541053,0.125721268740288,0.144140030617122,"1970"
"25","AUT",1975,1.827,508919,282638,255745,248745,274495,219464,211842,238926,1731855,2.05700419492394,0.302126910162802,0.0202,1.9916,0.293857742131991,6.77742905649033,0.163199575022158,0.147671138750069,0.143629229929757,0.158497680233045,0.126721925334396,0.122320864044623,0.137959586685952,"1970"
"26","AUT",1976,1.688,487647,291022,255825,259006,249249,242938,204103,230534,1732677,1.97008963586404,0.293335110929504,0.01759,1.8892,0.281441376552006,6.71258797531821,0.167960906735647,0.147647253354203,0.149483140827748,0.143851970101756,0.14020962937697,0.117796334804467,0.13305076479921,"1970"
"27","AUT",1977,1.631,467621,300292,263191,262161,236877,263203,198979,224342,1749045,1.87150530718192,0.285320274778522,0.01657,1.7984,0.267357901025988,6.72656387972311,0.171689121777885,0.150476974577555,0.149888081781772,0.13543219299675,0.150483835464496,0.113764368555412,0.12826542484613,"1970"
"28","AUT",1978,1.604,450718,309493,271316,257444,242133,274978,194879,220569,1770812,1.78168320521885,0.282117469273983,0.01494,1.7316,0.254526172174121,6.80322964514397,0.174774623167225,0.15321558697366,0.145381892600683,0.1367355766733,0.155283564827887,0.110050643433634,0.124558112323612,"1970"
"29","AUT",1979,1.598,438645,317628,279110,252842,245134,282632,196225,214861,1788432,1.71687545291071,0.278442792345474,0.01481,1.6696,0.245267921844387,6.8072497513935,0.177601384900293,0.156064082950875,0.141376356495522,0.137066435849951,0.158033405799046,0.109719016434508,0.120139317569804,"1970"
"30","AUT",1980,1.652,429620,323389,288813,252330,245300,272429,217395,209181,1808837,1.66258209003907,0.275110471535025,0.01448,1.6346,0.237511727148438,6.88218649085238,0.178782831178265,0.159667786539086,0.139498473328443,0.135611998206582,0.150610032855365,0.120184958622585,0.115643919269674,"1980"
"31","AUT",1981,1.674,430534,325726,298726,255280,256567,248391,241745,202222,1828657,1.64806084465266,0.279903229528556,0.01265,1.6318,0.235437263521809,6.93093342825421,0.178123070646928,0.163358136599701,0.139599717169486,0.14030351235907,0.135832471589806,0.132198110416552,0.110584981218457,"1980"
"32","AUT",1982,1.661,438906,325292,307027,265158,260042,236089,262245,197494,1853347,1.65772626496819,0.283379205297227,0.01276,1.6378,0.236818037852599,6.91585833094102,0.175515971914596,0.165660828760076,0.143069808298176,0.140309396999051,0.127385211727755,0.141498057298498,0.106560725001848,"1980"
"33","AUT",1983,1.559,446327,321345,313217,271725,253743,239966,272913,192774,1865683,1.67460870898218,0.281649133320076,0.01154,1.6288,0.239229815568883,6.80851588723066,0.172239871403663,0.167883289926531,0.145643713321073,0.136005419999003,0.128620992955395,0.146280477444453,0.103326234949882,"1980"
"34","AUT",1984,1.522,451962,316576,320535,279725,249977,243125,280523,194267,1884728,1.67861569414791,0.281049573201014,0.0113,1.6136,0.23980224202113,6.72887787203349,0.167969065032196,0.17006963339007,0.148416641552521,0.132632931648493,0.128997393788388,0.148840044823444,0.103074289764889,"1980"
"35","AUT",1985,1.474,456409,310680,325984,288614,250291,243248,270445,215095,1904357,1.67765970351147,0.282985280596023,0.01099,1.578,0.239665671930211,6.58417197294532,0.163141679842593,0.171177988160833,0.151554566712019,0.131430713884004,0.127732352704876,0.142013813586423,0.112948885109252,"1980"
"36","AUT",1986,1.449,453329,302421,328100,297068,253558,254614,246213,239110,1921084,1.65182938382705,0.286622552683797,0.01017,1.533,0.235975626261007,6.49643365414522,0.157422059628835,0.170788992048239,0.154635611977404,0.131986940706393,0.132536630360775,0.12816357847965,0.124466186798703,"1980"
